x,y,z,nx,ny,nz
1.53403,2.62624,2.73407,2.00788,-5.03169,-0.639784
1.52759,2.62674,2.77431,2.17675,-5.12977,-0.632163
1.52109,2.62697,2.81455,2.33511,-5.22292,-0.627018
1.51452,2.62692,2.8548,2.48296,-5.31116,-0.624351
1.50789,2.6266,2.89505,2.6203,-5.39447,-0.624161
1.5012,2.626,2.93531,2.74713,-5.47286,-0.626449
1.49444,2.62512,2.97557,2.86345,-5.54634,-0.631214
1.48763,2.62397,3.01583,2.96926,-5.61489,-0.638456
1.48075,2.62255,3.05611,3.06455,-5.67853,-0.648176
1.47381,2.62085,3.09638,3.14934,-5.73724,-0.660373
1.4668,2.61887,3.13666,3.22361,-5.79104,-0.675047
1.45974,2.61662,3.17695,3.28737,-5.83991,-0.692199
1.45261,2.6141,3.21724,3.34062,-5.88386,-0.711828
1.44542,2.6113,3.25754,3.38336,-5.9229,-0.733934
1.43817,2.60823,3.29784,3.41559,-5.95701,-0.758518
1.43085,2.60488,3.33815,3.43731,-5.98621,-0.78558
1.42347,2.60125,3.37846,3.44852,-6.01048,-0.815118
1.41603,2.59735,3.41877,3.44921,-6.02984,-0.847134
1.40853,2.59318,3.45909,3.4394,-6.04427,-0.881628
1.40097,2.58873,3.49942,3.41907,-6.05379,-0.918598
1.39334,2.584,3.53975,3.38823,-6.05838,-0.958046
1.38565,2.579,3.58009,3.34688,-6.05806,-0.999972
1.3779,2.57373,3.62043,3.29502,-6.05281,-1.04437
1.37,2.56802,3.66023,3.24027,-6.04012,-1.08558
1.36185,2.56172,3.69895,3.19022,-6.01745,-1.1179
1.35345,2.55483,3.73658,3.14489,-5.98482,-1.14134
1.34481,2.54734,3.77313,3.10428,-5.9422,-1.15591
1.33592,2.53927,3.8086,3.06838,-5.88962,-1.16159
1.32678,2.5306,3.84299,3.0372,-5.82706,-1.1584
1.3174,2.52134,3.87629,3.01072,-5.75453,-1.14632
1.30777,2.51148,3.90851,2.98897,-5.67203,-1.12537
1.2979,2.50104,3.93964,2.97193,-5.57955,-1.09554
1.28778,2.49,3.96969,2.9596,-5.4771,-1.05683
1.27741,2.47837,3.99866,2.95199,-5.36467,-1.00923
1.2668,2.46615,4.02655,2.94909,-5.24227,-0.952764
1.25595,2.45334,4.05335,2.95091,-5.1099,-0.887415
1.24484,2.43993,4.07907,2.95744,-4.96756,-0.813186
1.23349,2.42593,4.1037,2.96868,-4.81524,-0.730078
1.2219,2.41134,4.12725,2.98464,-4.65295,-0.63809
1.21006,2.39616,4.14972,3.00532,-4.48069,-0.537224
1.19797,2.38039,4.17111,3.03071,-4.29845,-0.427478
1.18563,2.36402,4.19141,3.06081,-4.10624,-0.308852
1.17305,2.34706,4.21063,3.09563,-3.90405,-0.181348
1.16023,2.32951,4.22876,3.13516,-3.6919,-0.0449637
1.14716,2.31137,4.24581,3.17941,-3.46977,0.1003
1.13384,2.29263,4.26178,3.22837,-3.23766,0.254442
1.12028,2.27331,4.27667,3.28205,-2.99559,0.417464
1.22093,2.86629,0.756134,5.40089,-4.30659,-2.20183
1.22644,2.87797,0.786565,5.33377,-4.54503,-2.11331
1.23226,2.88845,0.817333,5.26021,-4.76709,-2.02805
1.2384,2.89772,0.848439,5.18023,-4.97278,-1.94606
1.24486,2.90578,0.879882,5.09382,-5.16209,-1.86733
1.25164,2.91263,0.911663,5.00098,-5.33504,-1.79187
1.25873,2.91827,0.943782,4.90171,-5.49161,-1.71967
1.26614,2.9227,0.976238,4.79601,-5.63181,-1.65074
1.27387,2.92593,1.00903,4.68388,-5.75563,-1.58507
1.28192,2.92795,1.04216,4.56532,-5.86309,-1.52267
1.29029,2.92876,1.07563,4.44033,-5.95417,-1.46353
1.29897,2.92836,1.10944,4.30892,-6.02888,-1.40766
1.30797,2.92675,1.14358,4.17107,-6.08722,-1.35505
1.31729,2.92393,1.17806,4.02679,-6.12918,-1.30571
1.32693,2.91991,1.21288,3.87609,-6.15478,-1.25963
1.33688,2.91467,1.24804,3.71895,-6.164,-1.21682
1.34715,2.90823,1.28353,3.55538,-6.15685,-1.17727
1.35774,2.90058,1.31936,3.38539,-6.13332,-1.14098
1.36865,2.89172,1.35553,3.20896,-6.09343,-1.10797
1.37988,2.88165,1.39204,3.02611,-6.03716,-1.07821
1.39142,2.87038,1.42888,2.83682,-5.96452,-1.05172
1.40329,2.8579,1.46606,2.64111,-5.87551,-1.0285
1.41546,2.8442,1.50358,2.43897,-5.77012,-1.00854
1.42796,2.8293,1.54144,2.23039,-5.64836,-0.991846
1.44078,2.81319,1.57963,2.01539,-5.51024,-0.978417
1.45391,2.79588,1.61817,1.79396,-5.35573,-0.968252
1.46685,2.77832,1.6569,1.5776,-5.19849,-0.959594
1.47909,2.76149,1.6957,1.37783,-5.05214,-0.950685
1.49063,2.7454,1.73457,1.19464,-4.91668,-0.941525
1.50147,2.73003,1.7735,1.02804,-4.7921,-0.932113
1.5116,2.7154,1.81251,0.878014,-4.67842,-0.922449
1.52104,2.70149,1.85157,0.744575,-4.57563,-0.912534
1.52977,2.68832,1.89071,0.627718,-4.48373,-0.902368
1.5378,2.67588,1.92991,0.527445,-4.40272,-0.89195
1.54513,2.66416,1.96918,0.443754,-4.3326,-0.881281
1.55175,2.65318,2.00852,0.376647,-4.27337,-0.87036
1.55768,2.64293,2.04792,0.326123,-4.22503,-0.859188
1.56291,2.63341,2.0874,0.292182,-4.18758,-0.847764
1.56743,2.62462,2.12693,0.274824,-4.16102,-0.836089
1.57125,2.61655,2.16654,0.27405,-4.14535,-0.824163
1.57437,2.60922,2.20621,0.289858,-4.14057,-0.811985
1.57679,2.60262,2.24595,0.322249,-4.14668,-0.799556
1.5785,2.59675,2.28576,0.371224,-4.16368,-0.786875
1.57952,2.59161,2.32563,0.436782,-4.19157,-0.773943
1.57983,2.58721,2.36557,0.518923,-4.23035,-0.760759
1.57944,2.58353,2.40558,0.617647,-4.28003,-0.747324
1.57835,2.58058,2.44565,0.732954,-4.34059,-0.733638
1.57656,2.57836,2.48579,0.864844,-4.41204,-0.7197
1.57407,2.57687,2.526,1.01332,-4.49438,-0.70551
1.57087,2.57612,2.56628,1.17837,-4.58762,-0.691069
1.56698,2.57609,2.60662,1.36001,-4.69174,-0.676377
1.56265,2.57632,2.64698,1.54506,-4.79899,-0.662715
